"A0","A1","A2.1","A2.2","A2.3","A2.4","A2.5","A2.6","A3.1","A3.2","A3.3","A3.4","A4.1","A4.2","A4.3","A4.4","A4.5","A4.6","A5.1","A5.2","A5.3","A5.4","A5.5","A6.1","A6.2","A6.3","A6.4","A6.5","A6.6","A7.1","A7.2","A7.3","A7.4","A7.5","A7.6","A8.1","A8.2","A8.3","A9","A10.1","A11.1","A12.1","A13.1","A14.1","AB3","AB4","AB5","AB6","AB11","AB68","AB69","AB71","AB72","AB75.1","ABLDEL","ABKSTR","ABKJONN","ABALDER.1","a4.1x","a4.2x","a4.3x","a4.4x","a4.5x","a4.6x","a5.1x","a5.2x","a5.3x","a5.4x","a5.5x","a6.1x","a6.2x","a6.3x","a6.4x","a6.5x","a6.6x","a7.1x","a7.2x","a7.3x","a7.4x","a7.5x","a7.6x","a8.1x","a8.2x","a8.3x","a10.1x","a11.1x","a12.1x","a13.1x","a14.1x","ACSI"
1161309.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,6.000000,8.000000,6.000000,8.000000,5.000000,6.000000,8.000000,6.000000,6.000000,6.000000,8.000000,8.000000,8.000000,6.000000,8.000000,8.000000,6.000000,8.000000,6.000000,4.000000,7.000000,6.000000,6.000000,6.000000,7.000000,,4.000000,5.000000,3.000000,5.000000,5.000000,1.000000,6.000000,,8.000000,5.000000,2.000000,1.000000,61.000000,100.000000,100.000000,,100.000000,,,,83.33333333333333,,83.33333333333333,,66.66666666666667,83.33333333333333,,83.33333333333333,83.33333333333333,83.33333333333333,,,,83.33333333333333,,,83.33333333333333,,83.33333333333333,100.000000,83.33333333333333,83.33333333333333,83.33333333333333,100.000000,83.33333333333333
1161331.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,4.000000,6.000000,7.000000,7.000000,6.000000,7.000000,2.000000,3.000000,6.000000,1.000000,5.000000,1.000000,1.000000,5.000000,2.000000,7.000000,5.000000,1.000000,1.000000,45.000000,100.000000,,100.000000,100.000000,,,,100.000000,100.000000,100.000000,,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,83.33333333333333,100.000000,100.000000,83.33333333333333,100.000000,94.44444444444444
1161350.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,5.000000,1.000000,5.000000,1.000000,1.000000,2.000000,4.000000,6.000000,5.000000,1.000000,1.000000,54.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000
1161355.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,8.000000,8.000000,8.000000,5.000000,5.000000,8.000000,4.000000,5.000000,5.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,4.000000,3.000000,4.000000,4.000000,1.000000,3.000000,4.000000,3.000000,5.000000,1.000000,5.000000,1.000000,1.000000,3.000000,6.000000,7.000000,5.000000,1.000000,1.000000,39.000000,,,,66.66666666666667,66.66666666666667,,50.000000,66.66666666666667,66.66666666666667,33.33333333333334,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,33.33333333333334,16.66666666666667,16.66666666666667,16.66666666666667,16.66666666666667,16.66666666666667,16.66666666666667,16.66666666666667,16.66666666666667,33.33333333333334,50.000000,50.000000,0.000000,33.33333333333334,33.33333333333334
1161362.000000,,,,,,,,0.000000,0.000000,0.000000,1.000000,8.000000,8.000000,8.000000,8.000000,,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,1.000000,5.000000,1.000000,5.000000,4.000000,1.000000,,6.000000,5.000000,5.000000,2.000000,2.000000,66.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161407.000000,,,,,,,,,,,,5.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,5.000000,5.000000,8.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,4.000000,5.000000,4.000000,4.000000,8.000000,8.000000,3.000000,4.000000,4.000000,2.000000,3.000000,3.000000,4.000000,4.000000,8.000000,2.000000,1.000000,5.000000,1.000000,5.000000,1.000000,1.000000,4.000000,6.000000,6.000000,5.000000,2.000000,1.000000,58.000000,66.66666666666667,,,,,,,50.000000,66.66666666666667,66.66666666666667,,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,66.66666666666667,66.66666666666667,50.000000,66.66666666666667,50.000000,50.000000,,,33.33333333333334,50.000000,50.000000,33.33333333333334,33.33333333333334,50.000000,50.000000,,44.44444444444445
1161449.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,3.000000,8.000000,5.000000,5.000000,8.000000,8.000000,8.000000,5.000000,6.000000,5.000000,8.000000,6.000000,6.000000,5.000000,5.000000,8.000000,6.000000,6.000000,8.000000,6.000000,4.000000,8.000000,8.000000,6.000000,6.000000,6.000000,4.000000,6.000000,6.000000,6.000000,6.000000,6.000000,3.000000,1.000000,4.000000,1.000000,5.000000,4.000000,1.000000,6.000000,4.000000,7.000000,5.000000,2.000000,1.000000,75.000000,33.33333333333334,,66.66666666666667,66.66666666666667,,,,66.66666666666667,83.33333333333333,66.66666666666667,,83.33333333333333,83.33333333333333,66.66666666666667,66.66666666666667,,83.33333333333333,83.33333333333333,,83.33333333333333,50.000000,,,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333
1161451.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4.000000,5.000000,4.000000,4.000000,3.000000,2.000000,3.000000,5.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,4.000000,5.000000,2.000000,4.000000,4.000000,3.000000,4.000000,4.000000,3.000000,4.000000,4.000000,3.000000,3.000000,3.000000,4.000000,1.000000,2.000000,3.000000,1.000000,4.000000,1.000000,5.000000,4.000000,1.000000,6.000000,6.000000,5.000000,5.000000,2.000000,1.000000,73.000000,0.000000,50.000000,66.66666666666667,50.000000,50.000000,33.33333333333334,16.66666666666667,33.33333333333334,66.66666666666667,50.000000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,66.66666666666667,16.66666666666667,50.000000,50.000000,33.33333333333334,50.000000,50.000000,33.33333333333334,50.000000,50.000000,33.33333333333334,33.33333333333334,50.000000,0.000000,16.66666666666667,27.77777777777778
1161509.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,3.000000,5.000000,5.000000,5.000000,8.000000,8.000000,8.000000,4.000000,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,1.000000,3.000000,5.000000,1.000000,5.000000,4.000000,1.000000,6.000000,,7.000000,5.000000,2.000000,1.000000,68.000000,33.33333333333334,66.66666666666667,66.66666666666667,66.66666666666667,,,,50.000000,,50.000000,,,,,,,,,,,,,,,,,,,,,,
1161512.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,4.000000,7.000000,7.000000,7.000000,7.000000,7.000000,2.000000,1.000000,6.000000,1.000000,2.000000,1.000000,1.000000,3.000000,5.000000,7.000000,5.000000,2.000000,1.000000,57.000000,100.000000,,,100.000000,,,,100.000000,100.000000,,,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
1161573.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,2.000000,2.000000,2.000000,1.000000,5.000000,1.000000,3.000000,3.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,2.000000,5.000000,1.000000,5.000000,1.000000,1.000000,4.000000,3.000000,5.000000,5.000000,2.000000,2.000000,22.000000,16.66666666666667,16.66666666666667,16.66666666666667,0.000000,66.66666666666667,0.000000,33.33333333333334,33.33333333333334,0.000000,16.66666666666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1161581.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,5.000000,5.000000,5.000000,5.000000,8.000000,8.000000,8.000000,5.000000,8.000000,8.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,4.000000,4.000000,2.000000,5.000000,5.000000,5.000000,5.000000,5.000000,3.000000,1.000000,5.000000,1.000000,5.000000,4.000000,1.000000,2.000000,3.000000,5.000000,5.000000,2.000000,1.000000,73.000000,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,,,,66.66666666666667,,,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,50.000000,50.000000,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
1161611.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,2.000000,8.000000,4.000000,6.000000,8.000000,8.000000,8.000000,6.000000,6.000000,5.000000,8.000000,5.000000,3.000000,8.000000,3.000000,4.000000,2.000000,4.000000,2.000000,2.000000,3.000000,3.000000,8.000000,2.000000,4.000000,2.000000,4.000000,3.000000,3.000000,4.000000,3.000000,4.000000,2.000000,2.000000,5.000000,1.000000,3.000000,1.000000,1.000000,2.000000,5.000000,6.000000,5.000000,2.000000,1.000000,34.000000,16.66666666666667,,50.000000,83.33333333333333,,,,83.33333333333333,83.33333333333333,66.66666666666667,,66.66666666666667,33.33333333333334,,33.33333333333334,50.000000,16.66666666666667,50.000000,16.66666666666667,16.66666666666667,33.33333333333334,33.33333333333334,,16.66666666666667,50.000000,16.66666666666667,33.33333333333334,33.33333333333334,50.000000,33.33333333333334,50.000000,38.88888888888889
1161619.000000,2.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.000000,8.000000,8.000000,8.000000,4.000000,4.000000,4.000000,4.000000,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,8.000000,5.000000,5.000000,2.000000,1.000000,25.000000,33.33333333333334,,,,50.000000,50.000000,50.000000,50.000000,,50.000000,,,,,,,,,,,,,,,,,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000
1161621.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,3.000000,4.000000,3.000000,4.000000,8.000000,4.000000,4.000000,4.000000,5.000000,8.000000,4.000000,3.000000,3.000000,3.000000,3.000000,3.000000,4.000000,3.000000,3.000000,2.000000,3.000000,1.000000,3.000000,4.000000,3.000000,4.000000,2.000000,2.000000,3.000000,2.000000,2.000000,2.000000,3.000000,5.000000,1.000000,3.000000,1.000000,1.000000,3.000000,6.000000,6.000000,5.000000,2.000000,1.000000,21.000000,0.000000,33.33333333333334,50.000000,33.33333333333334,50.000000,,50.000000,50.000000,50.000000,66.66666666666667,,50.000000,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,50.000000,33.33333333333334,33.33333333333334,16.66666666666667,33.33333333333334,0.000000,33.33333333333334,50.000000,33.33333333333334,16.66666666666667,16.66666666666667,33.33333333333334,16.66666666666667,16.66666666666667,22.22222222222222
1161642.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,4.000000,7.000000,7.000000,7.000000,7.000000,7.000000,2.000000,1.000000,5.000000,1.000000,5.000000,4.000000,1.000000,6.000000,2.000000,7.000000,5.000000,2.000000,1.000000,70.000000,100.000000,,,,,,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
1161669.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,1.000000,5.000000,2.000000,3.000000,1.000000,1.000000,4.000000,6.000000,4.000000,5.000000,2.000000,2.000000,33.000000,,,,,,,,,50.000000,,,50.000000,,,,,,,,,,,,,,,,,,,,
1161689.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,3.000000,8.000000,4.000000,2.000000,8.000000,8.000000,8.000000,4.000000,6.000000,6.000000,8.000000,4.000000,4.000000,3.000000,3.000000,3.000000,3.000000,6.000000,4.000000,3.000000,1.000000,3.000000,8.000000,4.000000,8.000000,3.000000,4.000000,3.000000,3.000000,3.000000,3.000000,3.000000,2.000000,2.000000,5.000000,1.000000,5.000000,1.000000,1.000000,4.000000,7.000000,6.000000,5.000000,2.000000,1.000000,32.000000,33.33333333333334,,50.000000,16.66666666666667,,,,50.000000,83.33333333333333,83.33333333333333,,50.000000,50.000000,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,83.33333333333333,50.000000,33.33333333333334,0.000000,33.33333333333334,,50.000000,,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334,33.33333333333334
1161736.000000,2.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,8.000000,5.000000,5.000000,5.000000,8.000000,8.000000,8.000000,6.000000,6.000000,5.000000,8.000000,6.000000,5.000000,4.000000,5.000000,5.000000,6.000000,5.000000,4.000000,8.000000,5.000000,4.000000,8.000000,5.000000,5.000000,5.000000,4.000000,5.000000,5.000000,8.000000,5.000000,5.000000,1.000000,1.000000,5.000000,1.000000,2.000000,1.000000,1.000000,2.000000,7.000000,6.000000,5.000000,2.000000,1.000000,61.000000,,66.66666666666667,66.66666666666667,66.66666666666667,,,,83.33333333333333,83.33333333333333,66.66666666666667,,83.33333333333333,66.66666666666667,50.000000,66.66666666666667,66.66666666666667,83.33333333333333,66.66666666666667,50.000000,,66.66666666666667,50.000000,,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,,66.66666666666667,66.66666666666667,
1161753.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,8.000000,6.000000,5.000000,5.000000,4.000000,6.000000,6.000000,5.000000,5.000000,8.000000,2.000000,4.000000,3.000000,5.000000,4.000000,2.000000,5.000000,5.000000,3.000000,5.000000,5.000000,8.000000,6.000000,3.000000,4.000000,4.000000,3.000000,3.000000,4.000000,2.000000,4.000000,4.000000,2.000000,5.000000,2.000000,2.000000,1.000000,1.000000,1.000000,7.000000,4.000000,5.000000,2.000000,1.000000,37.000000,16.66666666666667,,83.33333333333333,66.66666666666667,66.66666666666667,50.000000,83.33333333333333,83.33333333333333,66.66666666666667,66.66666666666667,,16.66666666666667,50.000000,33.33333333333334,66.66666666666667,50.000000,16.66666666666667,66.66666666666667,66.66666666666667,33.33333333333334,66.66666666666667,66.66666666666667,,83.33333333333333,33.33333333333334,50.000000,33.33333333333334,33.33333333333334,50.000000,16.66666666666667,50.000000,33.33333333333334
1161786.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,5.000000,6.000000,6.000000,6.000000,8.000000,8.000000,8.000000,8.000000,5.000000,6.000000,8.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,4.000000,6.000000,6.000000,6.000000,6.000000,6.000000,3.000000,2.000000,6.000000,1.000000,5.000000,1.000000,1.000000,2.000000,3.000000,5.000000,5.000000,1.000000,1.000000,43.000000,66.66666666666667,83.33333333333333,83.33333333333333,83.33333333333333,,,,,66.66666666666667,83.33333333333333,,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333
1170070.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,4.000000,8.000000,8.000000,4.000000,8.000000,8.000000,4.000000,4.000000,8.000000,8.000000,8.000000,5.000000,4.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,4.000000,4.000000,4.000000,4.000000,5.000000,8.000000,8.000000,8.000000,4.000000,1.000000,4.000000,1.000000,5.000000,4.000000,1.000000,,,,5.000000,3.000000,1.000000,76.000000,50.000000,,,50.000000,,,50.000000,50.000000,,,,66.66666666666667,50.000000,50.000000,,,,,,,,,,50.000000,50.000000,50.000000,50.000000,66.66666666666667,,,,
1170113.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,7.000000,8.000000,6.000000,7.000000,8.000000,8.000000,8.000000,6.000000,7.000000,7.000000,8.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,4.000000,6.000000,6.000000,6.000000,6.000000,6.000000,3.000000,3.000000,6.000000,3.000000,5.000000,1.000000,1.000000,5.000000,9.000000,6.000000,5.000000,3.000000,1.000000,37.000000,100.000000,,83.33333333333333,100.000000,,,,83.33333333333333,100.000000,100.000000,,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333
1170127.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,5.000000,5.000000,2.000000,3.000000,3.000000,2.000000,3.000000,3.000000,4.000000,4.000000,4.000000,3.000000,4.000000,3.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,1.000000,3.000000,6.000000,1.000000,5.000000,1.000000,1.000000,5.000000,7.000000,5.000000,5.000000,3.000000,1.000000,21.000000,66.66666666666667,66.66666666666667,16.66666666666667,33.33333333333334,33.33333333333334,16.66666666666667,33.33333333333334,33.33333333333334,50.000000,50.000000,50.000000,33.33333333333334,50.000000,33.33333333333334,16.66666666666667,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,16.66666666666667,50.000000,38.88888888888889
